pitches,player_id,player_name,ba,babip,slg,woba,xwoba,xba,launch_speed,spin_rate,velocity,era,next_era
3205,554430,"Wheeler, Zack",0.215,0.291,0.321,0.257,0.259,0.215,83.8,2351,93.8,2.78,2.82
3196,641816,"Mahle, Tyler",0.234,0.303,0.396,0.308,0.298,0.229,86.5,2314,90.5,3.75,4.4
3164,622491,"Castillo, Luis",0.255,0.323,0.402,0.318,0.294,0.233,86.4,2194,92.6,3.98,2.99
3152,621111,"Buehler, Walker",0.199,0.25,0.329,0.255,0.272,0.218,87,2537,91.1,2.47,4.02
3141,592662,"Ray, Robbie",0.21,0.269,0.401,0.287,0.293,0.219,90.3,2217,91.9,2.84,3.71
3095,645261,"Alcantara, Sandy",0.223,0.273,0.365,0.279,0.288,0.232,87.1,2241,94.3,3.19,2.28
3068,425794,"Wainwright, Adam",0.22,0.257,0.352,0.273,0.302,0.251,87.7,2442,82.4,3.05,3.71
3043,621244,"Berríos, José",0.223,0.278,0.38,0.286,0.311,0.242,88,2141,89.4,3.52,5.23
3028,593423,"Montas, Frankie",0.232,0.298,0.372,0.29,0.307,0.237,88.8,2205,92.9,3.37,4.05
3002,592332,"Gausman, Kevin",0.21,0.275,0.345,0.265,0.29,0.23,88.1,1975,89.3,2.81,3.35
2987,450203,"Morton, Charlie",0.203,0.271,0.309,0.264,0.282,0.217,87.1,2566,88.8,3.34,4.34
2980,640455,"Manaea, Sean",0.255,0.318,0.415,0.31,0.312,0.249,89.7,1848,88.8,3.91,4.96
2971,605400,"Nola, Aaron",0.237,0.31,0.405,0.297,0.283,0.223,88.4,2142,87.3,4.63,3.25
2970,608337,"Giolito, Lucas",0.219,0.27,0.394,0.288,0.28,0.221,87.1,2007,87.8,3.53,4.9
2969,543037,"Cole, Gerrit",0.223,0.305,0.372,0.276,0.273,0.209,88.6,2435,92.3,3.23,3.5
2964,543475,"Lyles, Jordan",0.278,0.3,0.499,0.354,0.351,0.275,88.7,2380,87.7,5.15,4.42
2957,656302,"Cease, Dylan",0.223,0.31,0.364,0.295,0.295,0.21,88.5,2611,89.4,3.91,2.2
